"","C1","C2","C3","C4","C5","C6","M1","M4","S1","S2","S3","H1","H2","H3","H4","H5","M2","M3"
"P04003",-3.83197151109108,-3.88291867922438,-3.90639376722557,-3.72360496040299,-3.43642046975226,-3.21350978890559,-3.60498194248209,-3.5913884603555,-3.64015669043188,-3.42631785986188,-3.68341948543604,-4.26982288816131,-4.54962011992896,-4.2243804263925,-4.3718303776294,-3.51022518402079,-3.71973872496966,-3.82166275874149
"P10643",-4.46534910821971,-4.49869165193599,-4.8807005520026,-5.57381614402218,-5.39808313503671,-4.46574757373089,-5.69181523234638,-4.8439747599567,-4.71452673424191,-5.17016714414813,-5.07032258199876,-5.62890398146614,-6.48035745749184,-5.93133345149226,-5.50933390137933,-4.62125649640953,-4.16334537644528,-4.22555970041513
"P19827",-4.03276697356703,-4.03637527907064,-4.41733749032679,-4.02384130911845,-3.67623494872437,-3.61931486817788,-3.38325522635934,-3.79154307072125,-3.74588735819076,-3.43819002246753,-3.81263220937063,-4.10807181816469,-3.67300253543424,-3.67894628985798,-4.00344297164938,-4.01718517274067,-4.12537752624626,-4.18183832298581
"P00739",-2.75956027335598,-2.82442097952037,-2.28887717391671,-2.72519243887018,-2.63777103224523,-2.05138694561873,-2.72918664140373,-2.6133317187581,-2.86793102608709,-2.49718675677866,-2.16107285257664,-2.82154905940853,-4.1949552386296,-3.27060344315314,-3.59094766693299,-2.979710467322,-2.65069708054001,-2.83853657730589
"P01042-2",-3.88100539869514,-3.45162998644369,-4.51800956544785,-4.56963174970813,-4.696096991886,-4.4142521963941,-4.353613885838,-4.18992394460026,-4.19434534241546,-3.97000975042793,NA,-4.42454548295995,-4.92576860581421,-4.43383379202145,-4.84940934297695,-4.03629399568837,-3.6108043534165,-3.57550217147209
"P02749",-4.33218687136851,-4.11430480265156,-5.82972686185629,-6.28667614261204,-5.58136683327669,-5.0563645252797,-4.87856970976653,-4.59030172856729,-4.98600375891439,-4.68920878896268,-5.777930099757,-5.39757843535968,-6.39289461624151,-5.16081529761503,-5.19899378076718,-3.97971046732201,-4.93273244830386,-4.60407132366886
"P01876",-3.61945156202711,-3.20513155761943,-4.58105932639358,-5.13345952894304,-6.00460265006216,-3.77628905851023,-3.98187184722463,-3.29941005913306,-3.58219784870545,-4.53447836529694,-4.24607575125551,-4.34511101546555,-5.95679550143483,-5.18590627857786,-4.92437140065818,-3.29932840152216,-3.71973872496966,-2.78849589480629
"P09871",-4.15742225287682,-4.04900938526357,-4.84745008860786,-5.20566192185114,-5.31468381176103,-4.8558642748341,-4.78974003804494,-5.1519737124236,-4.97584087765509,-4.63994670968787,-4.55320925691886,-4.66061284119348,-5.02092583885455,-4.88951327579764,-5.06572724990372,-5.17764984493392,-4.12537752624626,-4.20353339408513
"P04217",-3.87430834227371,-3.80775403292206,-3.71086649420902,-3.81934342741643,-3.85693270376261,-4.1556098007001,-3.77922219181748,-3.57324722218766,-3.42918086341596,-3.50114400105226,-3.42548598691034,-4.66061284119348,-4.89539495677069,-4.91027183596443,-4.52383347107445,-3.55086716851813,-3.69172434880007,-3.70876870233555
"P13671",-4.73676886035815,-4.58307438531087,-5.44370195817514,-5.04078107380731,-4.43098945012873,-4.29776606744043,-4.84048535233925,-4.86763725481703,-4.74949775728364,-4.62219258736219,-4.9522632217936,-5.29448494239558,-5.52616114710497,-5.34637095077111,-5.42526963659086,-4.80568106754696,-3.98277313080346,-4.34103691783507
"P08697",-4.19313003725296,-4.10438070053346,-4.94709499667722,-5.26947999093989,-5.94067786867911,-5.26775203728798,-4.09529435413416,-4.27228341988445,-3.8234049097463,-4.03904611080937,-4.41075409106889,-5.39757843535968,-5.62237646236427,-5.46420744106497,-5.72692533645196,-4.59268734421276,-4.14423655349757,-4.0191088229477
"P01859",-2.69577584185295,-1.91884816085264,-2.05797145514122,-2.62727953254553,-2.16065945683427,-2.27287088393481,-1.73028633730578,-1.91781132705403,-0.823990375553268,-3.17528264857651,-3.01936781998715,-2.79491393290506,-4.03741396164312,-3.09398378913683,-3.94373672552511,-2.67265564891618,-1.82611002877007,-1.57904252917734
"Q06033",-4.46550378113865,-4.00730952445705,-4.4166462056383,-4.36026888593879,-4.06338714938253,-4.48082863948866,-4.90319502635421,-4.76132598244053,-4.0806580474601,-4.70791117776909,-3.74042611423635,-5.76014851474439,-5.95679550143483,-5.97440217338415,-5.66133699482438,-5.09518768474194,-4.20233950806114,-4.52000705888039
"P06727",-3.77895726456896,-3.22326101808112,-3.92312568437936,-4.2106009002045,-4.54496550467177,-3.57732791649715,-3.53663457116152,-3.63822649525427,-4.11392314993435,-3.46353226954512,-3.84313919090404,-3.01291458512436,-3.32048612071346,-2.9798773034503,-3.37840303155289,-3.18829708913342,-3.73395258418936,-3.52000705888039
